0.03,  0.05,  0.17, 0.12, 0.03
0.06,  0.10,  0.31, 0.21, 0.06
0.09,  0.16,  0.46, 0.30, 0.09
0.12,  0.25,  0.63, 0.38, 0.12
0.15,  0.29,  0.63, 0.38, 0.15
0.18,  0.40,  0.94, 0.54, 0.18
0.21,  0.38,  0.96, 0.56, 0.21
0.24,  0.41,  1.02, 0.61, 0.24
0.30, -0.04,  0.74, 0.78, 0.24
0.33, -0.15,  0.62, 0.77, 0.21
0.36, -0.26,  0.45, 0.71, 0.18
0.39, -0.36,  0.28, 0.64, 0.15
0.42, -0.45,  0.10, 0.55, 0.12
0.45, -0.56, -0.12, 0.44, 0.09
0.48, -0.65, -0.33, 0.32, 0.06
0.51, -0.77, -0.55, 0.22, 0.03
0.54, -0.92, -0.70, 0.22, 0.01